NombreCiudad; Distrito; Población
Madrid;Madrid;2879052
Barcelona;Katalonia;1503451
Valencia;Valencia;739412
Sevilla;Andalusia;701927
Zaragoza;Aragonia;603367
Málaga;Andalusia;530553
Bilbao;Baskimaa;357589
Las Palmas de Gran Canaria;Canary Islands;354757
Murcia;Murcia;353504
Palma de Mallorca;Balears;326993
Valladolid;Castilla and León;319998
Córdoba;Andalusia;311708
Vigo;Galicia;283670
Alicante [Alacant];Valencia;272432
Gijón;Asturia;267980
L´Hospitalet de Llobregat;Katalonia;247986
Granada;Andalusia;244767
A Coruña (La Coruña);Galicia;243402
Vitoria-Gasteiz;Baskimaa;217154
Santa Cruz de Tenerife;Canary Islands;213050
Badalona;Katalonia;209635
Oviedo;Asturia;200453
Móstoles;Madrid;195351
Elche [Elx];Valencia;193174
Sabadell;Katalonia;184859
Santander;Cantabria;184165
Jerez de la Frontera;Andalusia;182660
Pamplona [Iruña];Navarra;180483
Donostia-San Sebastián;Baskimaa;179208
Cartagena;Murcia;177709
Leganés;Madrid;173163
Fuenlabrada;Madrid;171173
Almería;Andalusia;169027
Terrassa;Katalonia;168695
Alcalá de Henares;Madrid;164463
Burgos;Castilla and León;162802
Salamanca;Castilla and León;158720
Albacete;Kastilia-La Mancha;147527
Getafe;Madrid;145371
Cádiz;Andalusia;142449
Alcorcón;Madrid;142048
Huelva;Andalusia;140583
León;Castilla and León;139809
Castellón de la Plana [Castell;Valencia;139712
Badajoz;Extremadura;136613
[San Cristóbal de] la Laguna;Canary Islands;127945
Logroño;La Rioja;127093
Santa Coloma de Gramenet;Katalonia;120802
Tarragona;Katalonia;113016
Lleida (Lérida);Katalonia;112207
Jaén;Andalusia;109247
Ourense (Orense);Galicia;109120
Mataró;Katalonia;104095
Algeciras;Andalusia;103106
Marbella;Andalusia;101144
Barakaldo;Baskimaa;98212
Dos Hermanas;Andalusia;94591
Santiago de Compostela;Galicia;93745
Torrejón de Ardoz;Madrid;92262
